aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
category,bags,evidence_rerank,hr_at_10,0.24,0.18090452261306533,0.3,200,186
category,bags,evidence_rerank,ndcg_at_1,0.045,0.019801980198019802,0.07462686567164178,200,186
category,bags,evidence_rerank,ndcg_at_5,0.09365224743535397,0.05992897881774301,0.13002414191078823,200,186
category,bags,evidence_rerank,ndcg_at_10,0.12521325759099486,0.08985637867582971,0.16296460254719122,200,186
category,bags,evidence_rerank,mrr,0.11335599502824482,0.0835573447971634,0.1452258269084695,200,186
category,bottoms,evidence_rerank,hr_at_1,0.035,0.010309278350515464,0.061855670103092786,200,188
category,bottoms,evidence_rerank,hr_at_5,0.12,0.07653061224489796,0.16831683168316833,200,188
category,bottoms,evidence_rerank,hr_at_10,0.205,0.14974583603720534,0.2613065326633166,200,188
category,bottoms,evidence_rerank,ndcg_at_1,0.035,0.014491011705685626,0.06217616580310881,200,188
category,bottoms,evidence_rerank,ndcg_at_5,0.07659938832775211,0.04706774352150432,0.10848988160293124,200,188
category,bottoms,evidence_rerank,ndcg_at_10,0.10462784994886525,0.07313259535241494,0.13775866528411884,200,188
category,bottoms,evidence_rerank,mrr,0.09921828208319283,0.07471549412876674,0.12731002199821187,200,188
category,outerwear,evidence_rerank,hr_at_1,0.04,0.015,0.07009991546517624,200,179
category,outerwear,evidence_rerank,hr_at_5,0.145,0.09693877551020408,0.1951219512195122,200,179
category,outerwear,evidence_rerank,hr_at_10,0.25,0.18877551020408162,0.31313131313131315,200,179
category,outerwear,evidence_rerank,ndcg_at_1,0.04,0.015149611694837833,0.06931555095808076,200,179
category,outerwear,evidence_rerank,ndcg_at_5,0.0919550395438721,0.05951253003186854,0.12694748965692967,200,179
category,outerwear,evidence_rerank,ndcg_at_10,0.125183509340895,0.09160122321137318,0.1616479453365151,200,179
category,outerwear,evidence_rerank,mrr,0.11194942522424571,0.08447126736441365,0.14248821929862493,200,179
category,shoes,evidence_rerank,hr_at_1,0.05,0.024035586124401927,0.08290218627574876,200,192
category,shoes,evidence_rerank,hr_at_5,0.14,0.09183673469387756,0.19117647058823528,200,192
category,shoes,evidence_rerank,hr_at_10,0.205,0.14925373134328357,0.26262626262626265,200,192
category,shoes,evidence_rerank,ndcg_at_1,0.05,0.024271844660194174,0.08121827411167512,200,192
category,shoes,evidence_rerank,ndcg_at_5,0.09462383114544513,0.0599404445092403,0.13239834472424866,200,192
category,shoes,evidence_rerank,ndcg_at_10,0.11567685404752982,0.0794316788174364,0.15157158167618062,200,192
category,shoes,evidence_rerank,mrr,0.11466463916936159,0.08485247238745437,0.14836821227134853,200,192
category,tops,evidence_rerank,hr_at_1,0.02,0.004901960784313725,0.04060913705583756,200,192
category,tops,evidence_rerank,hr_at_5,0.115,0.07389162561576355,0.16,200,192
category,tops,evidence_rerank,hr_at_10,0.225,0.16923076923076924,0.2835820895522388,200,192
category,tops,evidence_rerank,ndcg_at_1,0.02,0.0049261083743842365,0.04060913705583756,200,192
category,tops,evidence_rerank,ndcg_at_5,0.06673862828440331,0.04181828449734613,0.09517641601087337,200,192
category,tops,evidence_rerank,ndcg_at_10,0.10156079736776881,0.07403520384859295,0.13184804646770037,200,192
category,tops,evidence_rerank,mrr,0.08860042571561212,0.06729122681702525,0.11210680396564782,200,192
category_macro,all,evidence_rerank,hr_at_1,0.03799999999999999,0.02614152936581498,0.05061314548600724,1000,734
category_macro,all,evidence_rerank,hr_at_5,0.132,0.11012152998656156,0.1547361130050281,1000,734
category_macro,all,evidence_rerank,hr_at_10,0.225,0.19839046180246853,0.25238848545038894,1000,734
category_macro,all,evidence_rerank,ndcg_at_1,0.03799999999999999,0.02614152936581498,0.05061314548600724,1000,734
category_macro,all,evidence_rerank,ndcg_at_5,0.08471382694736532,0.06924901295500695,0.10115514949813859,1000,734
category_macro,all,evidence_rerank,ndcg_at_10,0.11445245365921075,0.09849547382088075,0.13086401198611614,1000,734
category_macro,all,evidence_rerank,mrr,0.10555775344413143,0.09244961420142794,0.11950841373048456,1000,734
micro,all,fused_clip,hr_at_1,0.045,0.03147208121827411,0.05917753259779338,1000,734
micro,all,fused_clip,hr_at_5,0.143,0.12003968253968254,0.16784937041835182,1000,734
micro,all,fused_clip,hr_at_10,0.231,0.20393078525281252,0.25948989898989894,1000,734
micro,all,fused_clip,ndcg_at_1,0.045,0.031503265445091,0.05882497257980717,1000,734
micro,all,fused_clip,ndcg_at_5,0.09428854534382665,0.07681419601990316,0.11225033721818255,1000,734
micro,all,fused_clip,ndcg_at_10,0.12234007459941487,0.10471188472658272,0.14034597826191506,1000,734
micro,all,fused_clip,mrr,0.11442510360678586,0.0996269389519062,0.12959582938355735,1000,734
category,bags,fused_clip,hr_at_1,0.045,0.019801980198019802,0.07462686567164178,200,186
category,bags,fused_clip,hr_at_5,0.135,0.0891089108910891,0.18592964824120603,200,186
category,bags,fused_clip,hr_at_10,0.225,0.16748768472906403,0.2857142857142857,200,186
category,bags,fused_clip,ndcg_at_1,0.045,0.019801980198019802,0.07462686567164178,200,186
category,bags,fused_clip,ndcg_at_5,0.09114953994062848,0.058780774485918556,0.12740419776002054,200,186
category,bags,fused_clip,ndcg_at_10,0.1206105140281163,0.08662512968582176,0.15701432716459135,200,186
category,bags,fused_clip,mrr,0.11235608140858871,0.08380495457600416,0.143989526097416,200,186
category,bottoms,fused_clip,hr_at_1,0.05,0.020618556701030927,0.08205128205128205,200,188
category,bottoms,fused_clip,hr_at_5,0.15,0.10396039603960396,0.20098039215686275,200,188
category,bottoms,fused_clip,hr_at_10,0.245,0.18719211822660098,0.30808080808080807,200,188
category,bottoms,fused_clip,ndcg_at_1,0.05,0.02040816326530612,0.08164311878597577,200,188
category,bottoms,fused_clip,ndcg_at_5,0.09997315584980365,0.06674262496572522,0.1377132209189438,200,188
category,bottoms,fused_clip,ndcg_at_10,0.13085489018908197,0.09639096785082579,0.16840109025977204,200,188
category,bottoms,fused_clip,mrr,0.11960973739288427,0.09003188930400217,0.15231107067379665,200,188
category,outerwear,fused_clip,hr_at_1,0.04,0.01507537688442211,0.06952204219543986,200,179
category,outerwear,fused_clip,hr_at_5,0.145,0.09852216748768473,0.19372128432524838,200,179
category,outerwear,fused_clip,hr_at_10,0.245,0.18652214771919132,0.3088235294117647,200,179
category,outerwear,fused_clip,ndcg_at_1,0.04,0.01507537688442211,0.06930693069306931,200,179
category,outerwear,fused_clip,ndcg_at_5,0.09387136618954824,0.06252587886692061,0.12894011771185146,200,179
category,outerwear,fused_clip,ndcg_at_10,0.12604476708107537,0.09215089147984767,0.16198517719168573,200,179
category,outerwear,fused_clip,mrr,0.11566350336132451,0.0886429883267913,0.14692031511439688,200,179
category,shoes,fused_clip,hr_at_1,0.055,0.02512562814070352,0.08866995073891626,200,192
